Jop_title, company, Jop_type
Freelance Data Science Instructor, Faze 3 Consulting -, Freelance / Project
Data Science Instructor, EpsilonAI -, Full Time
Sr- Data Engineer, more and more -, Full Time
Senior Digital Data Analyst, Jazeera Paints -, Full Time
Data Processor, Nahdet Misr Publishing Group -, Full Time
Senior Data Engineer | Tableau Is A Must, Fatura  -, Full Time
Data Analyst, Rashideen Egypt for Trade  -, Full Time
Senior Data Insights Specialist, WUZZUF -, Full Time
Data Management Administrator, Xceed -, Full Time
Senior Data Analytics & Insights Specialist, Alexandria For Programming -, Freelance / Project
Technical Consulting Specialist (Data & Microsoft Stack), Alnafitha -, Full Time
Data Scientist & BI Developer, Easy System -, Full Time
Data Analytics & Insights Manager, Mozare3 -, Full Time
Data Management Engineer, BBI-Consultancy -, Internship
Data Analyst, Raneen -, Full Time
